id,Model,Version release date,Link,Notes,Hugging Face developer id,Display name,Knowledge cutoff date,Description,Official release,Unique display name,ML Models,ML Models 2,ML Models 3,Model publication date,API prices,API Prices (new),Model aggregation,Model aggregation date,ML Models copy,ML Models copy
claude-sonnet-4-20250514_8K,Claude Sonnet 4,2025-05-22,,,,,,,,Claude Sonnet 4 (8k thinking),,,,2025-05-22,,"claude-sonnet-4-20250514_8K_2026-03-05_Google,claude-sonnet-4-20250514_8K_2026-03-05_Google,claude-sonnet-4-20250514_8K_2026-03-05_Anthropic,claude-sonnet-4-20250514_8K_2026-03-05_Amazon Bedrock,claude-sonnet-4-20250514_8K_2026-03-05_Google",,,,Claude Sonnet 4
claude-opus-4-20250514_1K,Claude Opus 4,2025-05-22,,,,Claude Opus 4,,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 1,000 reasoning tokens.",,Claude Opus 4 (1k thinking),,,,2025-05-22,,"claude-opus-4-20250514_1K_2026-03-05_Amazon Bedrock,claude-opus-4-20250514_1K_2026-03-05_Google,claude-opus-4-20250514_1K_2026-03-05_Google,claude-opus-4-20250514_1K_2026-03-05_Anthropic",,,,Claude Opus 4
o1-2024-12-17_low,o1,2024-12-17,https://platform.openai.com/docs/models#o1,,,o1 (low),,"OpenAI's first reasoning model, evaluated with at the low reasoning tokens level.",,,,,,2024-12-05,,o1-2024-12-17_low_2026-03-05_OpenAI,,,,o1
o1-mini-2024-09-12_low,o1-mini,2024-09-12,https://platform.openai.com/docs/models#o1,,,o1-mini (low),,"A smaller version of OpenAI's first reasoning model, o1, evaluated with low reasoning effort.",,,,,,2024-09-12,,,,,,o1-mini
claude-3-7-sonnet-20250219_1K,Claude 3.7 Sonnet,2025-02-24,,,,Claude 3.7 Sonnet (1k thinking),,"A previous flagship reasoning model from Anthropic, benchmarked with up to 1,000 reasoning tokens allowed.",,Claude 3.7 Sonnet (1k thinking),,,,2025-02-24,,claude-3-7-sonnet-20250219_1K_2026-03-05_Google,,,,Claude 3.7 Sonnet
claude-sonnet-4-20250514_1K,Claude Sonnet 4,2025-05-22,,,,,,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 1,000 reasoning tokens.",,Claude Sonnet 4 (1k thinking),,,,2025-05-22,,"claude-sonnet-4-20250514_1K_2026-03-05_Google,claude-sonnet-4-20250514_1K_2026-03-05_Google,claude-sonnet-4-20250514_1K_2026-03-05_Anthropic,claude-sonnet-4-20250514_1K_2026-03-05_Amazon Bedrock,claude-sonnet-4-20250514_1K_2026-03-05_Google",,,,Claude Sonnet 4
gemini-2.5-flash-preview-05-20_1K,Gemini 2.5 Flash,2025-05-20,,,,,,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 1,000 reasoning tokens.",,,,,,2025-04-17,,,Gemini 2.5 Flash (May 2025),2025-05-20,,Gemini 2.5 Flash
gemini-2.5-flash-preview-05-20_8K,Gemini 2.5 Flash,2025-05-20,,,,,,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 8,000 reasoning tokens.",,,,,,2025-04-17,,,Gemini 2.5 Flash (May 2025),2025-05-20,,Gemini 2.5 Flash
gemini-2.5-flash-preview-05-20_16K,Gemini 2.5 Flash,2025-05-20,,,,,,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 16,000 reasoning tokens.",,,,,,2025-04-17,,,Gemini 2.5 Flash (May 2025),2025-05-20,,Gemini 2.5 Flash
o3-pro-2025-06-10_low,o3-pro,2025-06-10,,,,,,"An enhanced version of OpenAI's previous flagship reasoning model o3, evaluated with low reasoning effort.",,,,,,2025-06-10,,o3-pro-2025-06-10_low_2026-03-05_OpenAI,,,,o3-pro
o3-pro-2025-06-10_medium,o3-pro,2025-06-10,,,,,,"An enhanced version of OpenAI's previous flagship reasoning model o3, evaluated with medium reasoning effort.",,,,,,2025-06-10,,o3-pro-2025-06-10_medium_2026-03-05_OpenAI,,,,o3-pro
o1-pro-2025-03-19_low,o1-pro,2025-03-19,,,,o1 Pro (low),,"An An enhanced version of OpenAI's first reasoning model,o1, evaluated with low reasoning effort.",,,,,,2025-03-19,,"""o1-pro-2025-03-19_low, o1-pro-2025-03-19_2026-03-05_OpenAI""",,,,o1-pro
gemini-2.5-pro-preview-06-05_1K,Gemini 2.5 Pro (Jun 2025),2025-06-05,,,,Gemini 2.5 Pro Preview (Jun 2025),,"A June 2025 preview version of Gemini 2.5 Pro, Google DeepMind's flagship frontier model, evaluated with up to 1,000 reasoning tokens.",,"Gemini 2.5 Pro Preview (Jun 2025, 1k thinking)",,,,2025-06-05,,,Gemini 2.5 Pro (Jun 2025),2025-06-05,,Gemini 2.5 Pro (Jun 2025)
InternVL2_5-78B,InternVL2_5-78B,2024-12-06,https://huggingface.co/OpenGVLab/InternVL2_5-78B,,OpenGVLab,,,,,,,,,2024-12-06,,,,,,InternVL2_5-78B
VideoLLAMA3-7B,,2024-01-22,https://huggingface.co/DAMO-NLP-SG/VideoLLaMA3-7B,,DAMO-NLP-SG,,,,,,,,,,,,,,,
VideoLLAMA2-7B,,2024-06-12,https://huggingface.co/DAMO-NLP-SG/VideoLLaMA2-7B,,DAMO-NLP-SG,,,,,,,,,,,,,,,
InternVL2-40B,InternVL2-40B,2024-07-08,https://huggingface.co/OpenGVLab/InternVL2-40B,,OpenGVLab,,,,,,,,,2024-07-04,,,,,,InternVL2-40B
Qwen-VL-Chat,,2023-08-20,https://huggingface.co/Qwen/Qwen-VL-Chat/tree/main,,Qwen,,,,,,,,,,,,,,,
InternVL-Chat-V1-5,,2024-04-18,https://huggingface.co/OpenGVLab/InternVL-Chat-V1-5,,OpenGVLab,,,,,,,,,,,,,,,
Qwen-VL-Max,,2024-01-18,https://github.com/QwenLM/Qwen-VL,"No longer available on HuggingFace, Github linked instead",Qwen,,,,,,,,,,,,,,,
long-llava-qwen2-7b,,2024-08-30,https://huggingface.co/aws-prototyping/long-llava-qwen2-7b/commits/main,,aws-prototyping,,,,,,,,,,,,,,,
LLaVA-Video-72B-Qwen2,,2024-09-02,https://huggingface.co/lmms-lab/LLaVA-Video-72B-Qwen2,,lmms-lab,,,,,,,,,,,,,,,
Oryx-1.5-32B,,2024-10-22,https://huggingface.co/THUdyh/Oryx-1.5-32B,,THUdyh,,,,,,,,,,,,,,,
ViLAMP-llava-qwen,,2025-05-01,https://huggingface.co/orange-sk/ViLAMP-llava-qwen,,orange-sk,,,,,,,,,,,,,,,
Aria,,2024-09-30,https://huggingface.co/rhymes-ai/Aria,,rhymes-ai,,,,,,,,,,,,,,,
LinVT,,2024-12-06,https://arxiv.org/abs/2412.05185,Weights not yet available,,,,,,,,,,,,,,,,
LLaVA-Video-7B-Qwen2-TPO,,2025-01-19,https://huggingface.co/ruili0/LLaVA-Video-7B-Qwen2-TPO,,ruili0,,,,,,,,,,,,,,,
LiveCC-7B-Instruct,,2024-04-12,https://huggingface.co/chenjoya/LiveCC-7B-Instruct,,chenjoya,,,,,,,,,,,,,,,
TimeMarker,,2024-11-27,https://huggingface.co/papers/2411.18211,Weights not yet available,,,,,,,,,,,,,,,,
Video-LLaVA-7B,,2023-11-17,https://huggingface.co/LanguageBind/Video-LLaVA-7B,,LanguageBind,,,,,,,,,,,,,,,
ST-LLM,,2024-03-28,https://github.com/TencentARC/ST-LLM,,,,,,,,,,,,,,,,,
sharegpt4video-8b,,2024-05-27,https://huggingface.co/Lin-Chen/sharegpt4video-8b,,Lin-Chen,,,,,,,,,,,,,,,
video_chat2_mistral,,2023-11-29,https://github.com/OpenGVLab/Ask-Anything/tree/main/video_chat2,,,,,,,,,,,,,,,,,
gemini-2.5-pro-preview-06-05_32K,Gemini 2.5 Pro (Jun 2025),2025-06-05,,,,Gemini 2.5 Pro Preview (Jun 2025),,"A June 2025 preview version of Gemini 2.5 Pro, Google DeepMind's flagship frontier model, evaluated with up to 32,000 reasoning tokens.",,"Gemini 2.5 Pro Preview (Jun 2025, 32k thinking)",,,,2025-06-05,,,Gemini 2.5 Pro (Jun 2025),2025-06-05,,Gemini 2.5 Pro (Jun 2025)
NVILA-8B,NVILA 8B,2024-12-10,https://huggingface.co/Efficient-Large-Model/NVILA-8B/tree/main,,Efficient-Large-Model,,,,,,,,,2024-12-05,,,,,,NVILA 8B
VideoChat-Flash-Qwen2-7B_res448,,2025-01-11,https://huggingface.co/OpenGVLab/VideoChat-Flash-Qwen2-7B_res448,,OpenGVLab,,,,,,,,,,,,,,,
LLaVA-OneVision 72B,,2024-08-06,https://arxiv.org/pdf/2408.03326,,,,,,,,,,,,,,,,,
ByteVideoLLM-14B,,2024-10-13,https://huggingface.co/Hon-Wong/ByteVideoLLM-14B,,Hon-Wong,,,,,,,,,,,,,,,
mPLUG-Owl3-7B-241101,,2024-11-26,https://huggingface.co/mPLUG/mPLUG-Owl3-7B-241101,,mPLUG,,,,,,,,,,,,,,,
MiniCPM-o-2_6,,2025-01-12,https://huggingface.co/openbmb/MiniCPM-o-2_6,,openbmb,,,,,,,,,,,,,,,
MiniCPM-V-2_6,,2024-08-03,https://huggingface.co/openbmb/MiniCPM-V-2_6,,openbmb,,,,,,,,,,,,,,,
VITA,,2024-08-12,https://github.com/VITA-MLLM/VITA,,,,,,,,,,,,,,,,,
VITA-1.5,,2024-12-20,https://github.com/VITA-MLLM/VITA,,,,,,,,,,,,,,,,,
kangaroo,,2024-11-13,https://huggingface.co/KangarooGroup/kangaroo,,KangarooGroup,,,,,,,,,,,,,,,
Video-CCAM-7B-v1.2,,2024-09-29,https://huggingface.co/JaronTHU/Video-CCAM-7B-v1.2,,JaronTHU,,,,,,,,,,,,,,,
LongVA-7B,,2024-06-13,https://huggingface.co/lmms-lab/LongVA-7B,,lmms-lab,,,,,,,,,,,,,,,
Chat-UniVi-7B-v1.5 ,,2024-04-23,https://huggingface.co/Chat-UniVi/Chat-UniVi-7B-v1.5,,Chat-UniVi,,,,,,,,,,,,,,,
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,,2024-06-20,https://github.com/Share14/ShareGemini,,,,,,,,,,,,,,,,,
SliME-Llama3-8B,,2024-06-02,https://huggingface.co/yifanzhang114/SliME-Llama3-8B,,yifanzhang114,,,,,,,,,,,,,,,
Video-XL-7B,,2024-10-17,https://github.com/VectorSpaceLab/Video-XL,,,,,,,,,,,,,,,,,
LLaVA-Video-7B-Qwen2,,2024-09-02,https://huggingface.co/lmms-lab/LLaVA-Video-7B-Qwen2/commit/65bcb8504ea8f3e7a0ace20b8f2088d065e87bcb,,lmms-lab,,,,,,,,,,,,,,,
gemini-2.5-pro,Gemini 2.5 Pro (Jun 2025),2025-06-17,,,,,,Google’s general-purpose frontier reasoning model.,,Gemini 2.5 Pro,,,,2025-06-05,,"gemini-2.5-pro_2026-03-05_Google,gemini-2.5-pro_2026-03-05_Google AI Studio,gemini-2.5-pro_2026-03-05_Google",Gemini 2.5 Pro (Jun 2025),2025-06-05,,Gemini 2.5 Pro (Jun 2025)
Kimi-Dev-72B,Kimi Dev 72b,2025-06-16,https://huggingface.co/moonshotai/Kimi-Dev-72B,,moonshotai,,,,,,,,,2025-06-16,,,,,,Kimi Dev 72b
MiniMax-M1-80k,MiniMax-M1-80k,2025-06-13,https://huggingface.co/MiniMaxAI/MiniMax-M1-80k,,MiniMaxAI,,,,,,,,,2025-06-13,,"MiniMax-M1-80k_2026-03-05_Minimax,MiniMax-M1-80k_2026-03-05_Novita",,,,MiniMax-M1-80k
claude-opus-4-20250514_2K,Claude Opus 4,2025-05-22,,,,Claude Opus 4,,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 2,000 reasoning tokens.",,Claude Opus 4 (2k thinking),,,,2025-05-22,,"claude-opus-4-20250514_2K_2026-03-05_Amazon Bedrock,claude-opus-4-20250514_2K_2026-03-05_Google,claude-opus-4-20250514_2K_2026-03-05_Google,claude-opus-4-20250514_2K_2026-03-05_Anthropic",,,,Claude Opus 4
claude-sonnet-4-20250514_2K,Claude Sonnet 4,2025-05-22,,,,,,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 2,000 reasoning tokens.",,Claude Sonnet 4 (2k thinking),,,,2025-05-22,,"claude-sonnet-4-20250514_2K_2026-03-05_Google,claude-sonnet-4-20250514_2K_2026-03-05_Google,claude-sonnet-4-20250514_2K_2026-03-05_Anthropic,claude-sonnet-4-20250514_2K_2026-03-05_Amazon Bedrock,claude-sonnet-4-20250514_2K_2026-03-05_Google",,,,Claude Sonnet 4
claude-opus-4-20250514_12K,Claude Opus 4,2025-05-22,,,,Claude Opus 4 ,,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 12,000 reasoning tokens.",,Claude Opus 4 (12k thinking),,,,2025-05-22,,"claude-opus-4-20250514_12K_2026-03-05_Amazon Bedrock,claude-opus-4-20250514_12K_2026-03-05_Google,claude-opus-4-20250514_12K_2026-03-05_Google,claude-opus-4-20250514_12K_2026-03-05_Anthropic",,,,Claude Opus 4
claude-sonnet-4-20250514_12K,Claude Sonnet 4,2025-05-22,,,,,,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 12,000 reasoning tokens.",,Claude Sonnet 4 (12k thinking),,,,2025-05-22,,"claude-sonnet-4-20250514_12K_2026-03-05_Google,claude-sonnet-4-20250514_12K_2026-03-05_Google,claude-sonnet-4-20250514_12K_2026-03-05_Anthropic,claude-sonnet-4-20250514_12K_2026-03-05_Amazon Bedrock,claude-sonnet-4-20250514_12K_2026-03-05_Google",,,,Claude Sonnet 4
gemini-2.5-flash-lite-preview-06-17-thinking,Gemini 2.5 Flash-Lite,2025-06-17,https://blog.google/products/gemini/gemini-2-5-model-family-expands/,,,gemini-2.5-flash-lite-preview-06-17 (Default thinking length),,A June 2025 preview of Gemini 2.5 Flash Lite.,,Gemini 2.5 Flash-Lite (Jun 2025),,,,2025-06-15,,,Gemini 2.5 Flash-Lite (Jun 2025),2025-06-17,,Gemini 2.5 Flash-Lite
codestral-embed,Codestral Embed,2025-05-28,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,2025-05-28,,,,,,Codestral Embed
mistral-ocr-2505,Mistral OCR,2025-05-22,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,2025-03-06,,,Mistral OCR (May 2025),,,Mistral OCR
devstral-small-2505,Devstral Small,2025-05-21,https://mistral.ai/news/devstral,,,,,,,,,,,2025-05-21,,devstral-small-2505_2026-03-05_Mistral,,,,Devstral Small
mistral-ocr-2503,Mistral OCR,2025-03-06,https://mistral.ai/news/devstral,,,,,,,,,,,2025-03-06,,,Mistral OCR (Mar 2025),,,Mistral OCR
mistral-saba-2502,Mistral Saba,2025-02-17,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,2025-02-17,,mistral-saba-2502_2026-03-05_Mistral,,,,Mistral Saba
pixtral-large-2411,Pixtral Large,2024-11-18,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,2024-11-18,,pixtral-large-2411_2026-03-05_Mistral,,,,Pixtral Large
mistral-small-2409,Mistral Small v24.09,2024-09-17,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,2024-09-17,,,,,,Mistral Small v24.09
open-codestral-mamba,Codestral Mamba,2024-07-16,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,2024-07-16,,,,,,Codestral Mamba
mathstral,,2024-07-16,https://docs.mistral.ai/getting-started/changelog/,,,,,,,,,,,,,,,,,mathstral
chatglm2-6b,,2023-06-24,https://huggingface.co/THUDM/chatglm2-6b,,THUDM,,,,,,,,,,,,,,,
gemini-2.5-pro_16K,Gemini 2.5 Pro (Jun 2025),2025-06-17,,,,,,"Google’s general-purpose frontier reasoning model, evaluated with up to 16,000 reasoning tokens.",,Gemini 2.5 Pro (16k thinking),,,,2025-06-05,,"gemini-2.5-pro_16K_2026-03-05_Google,gemini-2.5-pro_16K_2026-03-05_Google AI Studio,gemini-2.5-pro_16K_2026-03-05_Google",Gemini 2.5 Pro (Jun 2025),2025-06-05,,Gemini 2.5 Pro (Jun 2025)
gemini-2.5-pro_32K,Gemini 2.5 Pro (Jun 2025),2025-06-17,,,,,,"Google’s general-purpose frontier reasoning model, evaluated with up to 32,000 reasoning tokens.",,Gemini 2.5 Pro (32k thinking),,,,2025-06-05,,"gemini-2.5-pro_32K_2026-03-05_Google,gemini-2.5-pro_32K_2026-03-05_Google AI Studio,gemini-2.5-pro_32K_2026-03-05_Google",Gemini 2.5 Pro (Jun 2025),2025-06-05,,Gemini 2.5 Pro (Jun 2025)
gemini-2.5-pro_8K,Gemini 2.5 Pro (Jun 2025),2025-06-17,,,,,,"Google’s general-purpose frontier reasoning model, evaluated with up to 8,000 reasoning tokens.",,Gemini 2.5 Pro (8k thinking),,,,2025-06-05,,"gemini-2.5-pro_8K_2026-03-05_Google,gemini-2.5-pro_8K_2026-03-05_Google AI Studio,gemini-2.5-pro_8K_2026-03-05_Google",Gemini 2.5 Pro (Jun 2025),2025-06-05,,Gemini 2.5 Pro (Jun 2025)
gemini-2.5-flash-lite-preview-06-17_16K,Gemini 2.5 Flash-Lite,2025-06-17,https://blog.google/products/gemini/gemini-2-5-model-family-expands/,,,,,"A June 2025 preview of Gemini 2.5 Flash Lite, evaluated with up to 16,000 reasoning tokens.",,"Gemini 2.5 Flash-Lite (Jun 2025, 16k thinking)",,,,2025-06-15,,,Gemini 2.5 Flash-Lite (Jun 2025),2025-06-17,,Gemini 2.5 Flash-Lite
claude-3-7-sonnet-20250219_2K,Claude 3.7 Sonnet,2025-02-24,,,,Claude 3.7 Sonnet (2k thinking),,"A previous flagship reasoning model from Anthropic, benchmarked with up to 2,000 reasoning tokens allowed.",,Claude 3.7 Sonnet (2k thinking),,,,2025-02-24,,claude-3-7-sonnet-20250219_2K_2026-03-05_Google,,,,Claude 3.7 Sonnet
grok-4-0709,Grok 4,2025-07-09,,,,,,,,Grok 4,,,,2025-07-09,,grok-4-0709_2026-03-05_xAI,,,,Grok 4
Kimi-K2-Instruct,Kimi K2,2025-07-12,https://huggingface.co/moonshotai/Kimi-K2-Instruct,,moonshotai,Kimi K2 Instruct,,Moonshot AI’s 1-trillion parameter scale model.,,,,,,2025-07-11,,"Kimi-K2-Instruct_2026-03-05_DeepInfra,Kimi-K2-Instruct_2026-03-05_Novita,Kimi-K2-Instruct_2026-03-05_Moonshot AI",Kimi K2 (Jul 2025),,,Kimi K2
glm-4.5,GLM-4.5,2025-08-03,,,,,,Zhipu AI & Tsinghua University’s large open source model.,,,,,,2025-08-05,,"glm-4.5_2026-03-05_Novita,glm-4.5_2026-03-05_Z.AI,glm-4.5_2026-03-05_Nebius",,,,GLM-4.5
gemini-2.5-flash,Gemini 2.5 Flash,2025-06-17,https://blog.google/products/gemini/gemini-2-5-model-family-expands/,,,,,A small model from Google DeepMind's Gemini 2.5 series.,,Gemini 2.5 Flash (Jun 2025),,,,2025-04-17,,"gemini-2.5-flash_2026-03-05_Google,gemini-2.5-flash_2026-03-05_Google,gemini-2.5-flash_2026-03-05_Google AI Studio",Gemini 2.5 Flash (Jun 2025),2025-06-17,,Gemini 2.5 Flash
chutes/GLM-4.5-FP8,,2025-07-27,https://chutes.ai/app/chute/b5326e54-8d9e-590e-bed4-f3db35d9d4cd?tab=stats,,,,,,,,,,,,,,,,,
chutes/Qwen3-235B-A22B-Thinking-2507,Qwen3-235B-A22B (Jul 2025),2025-07-25,https://chutes.ai/app/chute/a805bf90-0237-5b55-8a55-6e8dde54324e?tab=stats,,,,,,,Qwen3 (Jul 2025) (Chutes),,,,2025-07-25,,,Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,,Qwen3-235B-A22B (Jul 2025)
Qwen3-Coder-480B-A35B-Instruct,Qwen3-Coder-480B-A35B,2025-07-31,https://huggingface.co/Qwen/Qwen3-Coder-480B-A35B-Instruct,,,,,,,Qwen3 Coder,,,,2025-07-22,,"Qwen3-Coder-480B-A35B-Instruct_2026-03-05_DeepInfra,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_Google,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_SiliconFlow,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_Novita,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_DeepInfra,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_Nebius,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_AtlasCloud,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_Alibaba,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_WandB,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_Hyperbolic,Qwen3-Coder-480B-A35B-Instruct_2026-03-05_Together",,,,Qwen3-Coder-480B-A35B
claude-opus-4-1-20250805,Claude Opus 4.1,2025-08-05,,,,,,Anthropic’s largest flagship model.,,Claude Opus 4.1,,,,2025-08-05,,"claude-opus-4-1-20250805_2026-03-05_Amazon Bedrock,claude-opus-4-1-20250805_2026-03-05_Google,claude-opus-4-1-20250805_2026-03-05_Google,claude-opus-4-1-20250805_2026-03-05_Anthropic,claude-opus-4-1-20250805_2026-03-05_Google",,,,Claude Opus 4.1
claude-opus-4-1-20250805_16K,Claude Opus 4.1,2025-08-05,,,,,,"Anthropic’s largest flagship model, benchmarked with up to 16,000 reasoning tokens.",,Claude Opus 4.1 (16k thinking),,,,2025-08-05,,"claude-opus-4-1-20250805_16K_2026-03-05_Amazon Bedrock,claude-opus-4-1-20250805_16K_2026-03-05_Google,claude-opus-4-1-20250805_16K_2026-03-05_Google,claude-opus-4-1-20250805_16K_2026-03-05_Anthropic,claude-opus-4-1-20250805_16K_2026-03-05_Google",,,,Claude Opus 4.1
claude-opus-4-1-20250805_32K,Claude Opus 4.1,2025-08-05,,,,,,"Anthropic’s largest flagship model, benchmarked with up to 32,000 reasoning tokens.",,Claude Opus 4.1 (32k thinking),,,,2025-08-05,,"claude-opus-4-1-20250805_32K_2026-03-05_Amazon Bedrock,claude-opus-4-1-20250805_32K_2026-03-05_Google,claude-opus-4-1-20250805_32K_2026-03-05_Google,claude-opus-4-1-20250805_32K_2026-03-05_Anthropic,claude-opus-4-1-20250805_32K_2026-03-05_Google",,,,Claude Opus 4.1
claude-opus-4-1-20250805_27K,Claude Opus 4.1,2025-08-05,,"Can't do 32K, can do 32K - 4096...",,,,"Anthropic’s largest flagship model, benchmarked with up to 27,000 reasoning tokens.",,Claude Opus 4.1 (27k thinking),,,,2025-08-05,,"claude-opus-4-1-20250805_27K_2026-03-05_Amazon Bedrock,claude-opus-4-1-20250805_27K_2026-03-05_Google,claude-opus-4-1-20250805_27K_2026-03-05_Google,claude-opus-4-1-20250805_27K_2026-03-05_Anthropic,claude-opus-4-1-20250805_27K_2026-03-05_Google",,,,Claude Opus 4.1
gpt-oss-120b,gpt-oss-120b,2025-08-05,,,,,,The larger one of OpenAI's two latest open source language models.,,,,,,2025-08-05,,"gpt-oss-120b_2026-03-05_OpenInference,gpt-oss-120b_2026-03-05_DeepInfra,gpt-oss-120b_2026-03-05_Novita,gpt-oss-120b_2026-03-05_Chutes,gpt-oss-120b_2026-03-05_SiliconFlow,gpt-oss-120b_2026-03-05_Clarifai,gpt-oss-120b_2026-03-05_Google,gpt-oss-120b_2026-03-05_AtlasCloud,gpt-oss-120b_2026-03-05_Phala,gpt-oss-120b_2026-03-05_BaseTen,gpt-oss-120b_2026-03-05_Parasail,gpt-oss-120b_2026-03-05_SambaNova,gpt-oss-120b_2026-03-05_Amazon Bedrock,gpt-oss-120b_2026-03-05_Together,gpt-oss-120b_2026-03-05_WandB,gpt-oss-120b_2026-03-05_Groq,gpt-oss-120b_2026-03-05_Crusoe,gpt-oss-120b_2026-03-05_Fireworks,gpt-oss-120b_2026-03-05_DeepInfra,gpt-oss-120b_2026-03-05_Cerebras,gpt-oss-120b_2026-03-05_DeepInfra,gpt-oss-120b_2026-03-05_Novita,gpt-oss-120b_2026-03-05_Groq",,,,gpt-oss-120b
gpt-oss-20b,gpt-oss-20b,2025-08-05,,,,,,The smaller one of OpenAI's two latest open source language models.,,,,,,2025-08-05,,"gpt-oss-20b_2026-03-05_Groq,gpt-oss-20b_2026-03-05_OpenInference,gpt-oss-20b_2026-03-05_DeepInfra,gpt-oss-20b_2026-03-05_Novita,gpt-oss-20b_2026-03-05_Parasail,gpt-oss-20b_2026-03-05_Clarifai,gpt-oss-20b_2026-03-05_Together,gpt-oss-20b_2026-03-05_Nebius,gpt-oss-20b_2026-03-05_WandB,gpt-oss-20b_2026-03-05_Amazon Bedrock,gpt-oss-20b_2026-03-05_Google,gpt-oss-20b_2026-03-05_Fireworks,gpt-oss-20b_2026-03-05_Groq,gpt-oss-20b_2026-03-05_NextBit",,,,gpt-oss-20b
Nemotron-4 15B,Nemotron-4 15B,2024-02-26,,,,,,A 15 billion-parameter language model trained by Nvidia.,,,,,,2024-02-27,,,,,,Nemotron-4 15B
Phi-3.5-mini-instruct,phi-3.5-mini,2024-08-16,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,,microsoft,,,"An instruction-tuned version of phi-3.5-mini, a small model in Microsoft's Phi 3.5 open source model series.",,,,,,2024-04-23,,,,,,phi-3.5-mini
opt-1.3b,OPT-1.3B,2022-05-11,https://huggingface.co/facebook/opt-1.3b,,facebook,,,,,,,,,2022-06-21,,,,,,OPT-1.3B
vicuna-13b-v1.1,,2023-04-12,https://huggingface.co/lmsys/vicuna-13b-v1.1,,lmsys,,,,,,,,,,,,,,,
DeepSeek-V3-Base,DeepSeek-V3,2024-12-26,https://huggingface.co/deepseek-ai/DeepSeek-V3-Base,,deepseek-ai,,,,,DeepSeek-V3 (base),,,,2024-12-24,,,,,,DeepSeek-V3
Megatron-Turing NLG 530B,Megatron-Turing NLG 530B,2022-01-28,https://huggingface.co/papers/2201.11990,,,,,,,,,,,2021-10-11,,,,,,Megatron-Turing NLG 530B
vicuna-13b-v1.3,Vicuna-13B-v1.3,2023-06-18,https://huggingface.co/lmsys/vicuna-13b-v1.3,,lmsys,,,,,Vicuna-13B-v1.3,,,,2023-06-22,,,,,,Vicuna-13B-v1.3
DeepSeek-Coder-V2-Lite-Base,,2024-06-13,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Lite-Base,,deepseek-ai,,,,,,,,,,,,,,,
claude-instant-1.1,Claude Instant,,,,,,,,,,,,,2023-08-09,,,,,,Claude Instant
DeepSeek-Coder-V2-Lite-Instruct,,2024-06-13,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,,deepseek-ai,,,,,,,,,,,,,,,
Qwen2.5-Coder-3B-Instruct,,2024-11-06,https://huggingface.co/Qwen/Qwen2.5-Coder-3B-Instruct,,Qwen,,,An instruction-tuned and coding-optimized 3 billion-parameter model in the Qwen 2.5 series.,,,,,,,,,,,,
Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder (7B),2024-09-17,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,,Qwen,,,An instruction-tuned and coding-optimized 7 billion-parameter model in the Qwen 2.5 series.,,Qwen2.5-Coder-7B (instruct),,,,2024-09-18,,Qwen2.5-Coder-7B-Instruct_2026-03-05_Nebius,,2024-09-18,,Qwen2.5-Coder (7B)
Qwen2.5-Coder-14B-Instruct,,2024-11-06,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct/commits/main,,Qwen,,,An instruction-tuned and coding-optimized 14 billion-parameter model in the Qwen 2.5 series.,,,,,,,,,,,,
